SampleID,Sp1,Sp2,Sp3,Sp4,Sp5,Sp6,Sp7,Sp8,Sp9,Sp10,Sp11,Sp12,Sp13,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp20,Sp21,Sp22,Sp23,Sp24,Sp25,Sp26,Sp27,Sp28,Sp29,Sp30,Sp31,Sp32,Sp33,Sp34,Sp35,Sp36,Sp37,Sp38,Protein,Moisture,Slope1,Bias1,Slope2,Bias2,Product,Date,Time,IntTime,Temp,GPS,misc,y,dir_y,x,dir_x
SEC 1 WEST,3.317633,3.247162,3.181114,3.116372,3.057559,3.013825,2.971891,2.922366,2.87508,2.839335,2.819067,2.816606,2.823706,2.818877,2.791679,2.758388,2.746263,2.778853,2.856647,2.949169,3.008641,3.018948,3.001235,2.967476,2.923672,2.875633,2.829709,2.785469,2.741301,2.700063,2.666645,2.64123,2.626358,2.621365,2.634889,2.695849,2.83027,3.014359,13.144,10.563,1.08,-2,1,0.2,Wheat16H,14/08/2019,5:56:54 PM,10000,35.1,GPGGA,235742.6,46.04436063,N,109.1846767,W
SEC 1 WEST,3.366946,3.294104,3.22381,3.156558,3.097596,3.055419,3.013964,2.963136,2.915121,2.879648,2.860249,2.859419,2.868332,2.865039,2.838538,2.804788,2.793959,2.829499,2.911913,3.010101,3.072979,3.084448,3.065611,3.030283,2.984285,2.934534,2.887017,2.840992,2.795313,2.752979,2.718194,2.691819,2.676385,2.671237,2.685135,2.747743,2.886722,3.078479,12.393,10.746,1.08,-2,1,0.2,Wheat16H,14/08/2019,5:57:16 PM,10000,35,GPGGA,235803.2,46.0443603,N,109.1849636,W
SEC 1 WEST,3.239766,3.169818,3.105534,3.042415,2.984661,2.943086,2.905321,2.858451,2.81349,2.780776,2.763557,2.762993,2.772154,2.770089,2.744985,2.71324,2.702823,2.736814,2.815732,2.909709,2.970066,2.981352,2.964313,2.930838,2.887146,2.840478,2.795465,2.751798,2.708211,2.668641,2.635873,2.61074,2.596138,2.591435,2.605271,2.664798,2.797632,2.979345,12.337,10.863,1.08,-2,1,0.2,Wheat16H,14/08/2019,5:57:42 PM,10000,34.9,GPGGA,235825,46.0443597,N,109.1852663,W
SEC 1 WEST,3.232596,3.166963,3.105639,3.045518,2.991889,2.951305,2.912409,2.865861,2.822349,2.789824,2.77232,2.770741,2.778851,2.776361,2.751681,2.720612,2.710153,2.742137,2.816888,2.906924,2.964304,2.974656,2.958008,2.926067,2.884493,2.839068,2.795593,2.75356,2.711929,2.672822,2.641099,2.616909,2.602195,2.597227,2.610421,2.667706,2.79627,2.970704,12.654,10.888,1.08,-2,1,0.2,Wheat16H,14/08/2019,5:58:11 PM,10000,35.7,GPGGA,235851.2,46.0443594,N,109.1856313,W
SEC 1 WEST,3.392642,3.319283,3.249112,3.179497,3.118246,3.076607,3.036248,2.984607,2.935244,2.898589,2.878554,2.876734,2.884779,2.880649,2.852939,2.818916,2.807379,2.842554,2.924867,3.02219,3.084763,3.096127,3.077968,3.043074,2.997267,2.947177,2.899449,2.853354,2.80706,2.764543,2.729723,2.703712,2.688228,2.683172,2.697817,2.761194,2.902315,3.094577,13.27,10.874,1.08,-2,1,0.2,Wheat16H,14/08/2019,5:58:35 PM,10000,35,GPGGA,235920.4,46.04435852,N,109.1860378,W
SEC 1 WEST,3.228941,3.163595,3.101682,3.040319,2.985616,2.946857,2.908933,2.861081,2.815645,2.781536,2.762348,2.759707,2.766446,2.761965,2.735927,2.705044,2.694129,2.725483,2.798911,2.887038,2.943264,2.953367,2.937307,2.906411,2.865084,2.819441,2.776432,2.734539,2.692279,2.65321,2.621845,2.597981,2.583562,2.578777,2.592518,2.650947,2.779789,2.955212,14.141,10.843,1.08,-2,1,0.2,Wheat16H,14/08/2019,5:58:59 PM,10000,35,GPGGA,235944.4,46.04435837,N,109.1863705,W
SEC 1 WEST,3.37271,3.299244,3.229747,3.162491,3.103707,3.059337,3.014802,2.96222,2.913342,2.877064,2.857318,2.855792,2.863659,2.859341,2.831151,2.797121,2.785105,2.819593,2.901113,2.998694,3.060699,3.071932,3.053819,3.019873,2.974035,2.924301,2.877066,2.831429,2.785586,2.742479,2.708258,2.68228,2.666599,2.661603,2.676216,2.739631,2.880295,3.07294,13.709,10.628,1.08,-2,1,0.2,Wheat16H,14/08/2019,5:59:24 PM,10000,35.1,GPGGA,8,46.04435763,N,109.1866977,W
SEC 1 WEST,3.35765,3.285565,3.217764,3.152061,3.093485,3.048984,3.005715,2.954826,2.907662,2.872819,2.853095,2.851252,2.859399,2.855055,2.827983,2.79592,2.786019,2.822357,2.904243,3.000812,3.059655,3.066325,3.045167,3.009171,2.962552,2.912817,2.86561,2.820751,2.775427,2.733416,2.699388,2.673876,2.658279,2.654386,2.669098,2.731494,2.870448,3.058838,13.66,10.809,1.08,-2,1,0.2,Wheat16H,14/08/2019,6:01:03 PM,10000,35.1,GPGGA,33.2,46.04435727,N,109.1870492,W
SEC 1 WEST,3.191692,3.124774,3.06146,2.998142,2.941264,2.902507,2.864891,2.817201,2.77147,2.737634,2.717584,2.71363,2.719376,2.713484,2.686617,2.655077,2.644823,2.676007,2.746826,2.830299,2.883868,2.893253,2.877338,2.847284,2.806595,2.761522,2.718183,2.676234,2.63427,2.594999,2.563785,2.54066,2.527367,2.523624,2.538256,2.597727,2.727274,2.90255,14.622,11.511,1.08,-2,1,0.2,Wheat16H,14/08/2019,6:02:15 PM,10000,35.7,GPGGA,213,46.04424797,N,109.1877989,W
SEC 1 WEST,3.217519,3.151282,3.087315,3.023599,2.969016,2.929805,2.890065,2.840374,2.793536,2.758191,2.736582,2.73157,2.735678,2.728537,2.701126,2.669721,2.658568,2.687655,2.756894,2.839292,2.891515,2.90028,2.884398,2.854537,2.814507,2.770678,2.728515,2.687826,2.646543,2.608349,2.577641,2.554903,2.541435,2.53736,2.551042,2.608625,2.735723,2.90682,14.495,10.89,1.08,-2,1,0.2,Wheat16H,14/08/2019,6:02:35 PM,10000,35.1,GPGGA,324.8,46.04424927,N,109.1867938,W
SEC 1 WEST,3.310785,3.241746,3.175139,3.110235,3.052133,3.00859,2.966252,2.915094,2.866685,2.830238,2.808307,2.803134,2.807891,2.801588,2.773021,2.738725,2.725332,2.756143,2.830291,2.919785,2.977498,2.987714,2.970442,2.937556,2.894255,2.846444,2.800675,2.75666,2.712746,2.671878,2.638485,2.613558,2.598695,2.593672,2.607093,2.667004,2.800198,2.981055,13.656,11.05,1.08,-2,1,0.2,Wheat16H,14/08/2019,6:02:53 PM,10000,35.2,GPGGA,344.4,46.04424975,N,109.1865418,W
SEC 1 WEST,3.26493,3.199622,3.137861,3.076646,3.019982,2.977864,2.938795,2.891835,2.847086,2.81354,2.794111,2.791917,2.799634,2.79615,2.769452,2.736407,2.724498,2.75648,2.832689,2.925024,2.985912,2.997648,2.980888,2.948248,2.90468,2.856691,2.810903,2.767011,2.722696,2.682113,2.648839,2.623552,2.608487,2.603055,2.616212,2.675042,2.807433,2.989606,13.427,11.138,1.08,-2,1,0.2,Wheat16H,14/08/2019,6:03:09 PM,10000,35.7,GPGGA,402,46.04425,N,109.1863177,W
SEC 1 WEST,3.220359,3.154357,3.092167,3.029513,2.972558,2.931799,2.894299,2.846917,2.801335,2.766847,2.747566,2.745512,2.752404,2.748659,2.721978,2.68997,2.678801,2.710604,2.7857,2.876212,2.935443,2.946883,2.930518,2.898809,2.856522,2.810094,2.765764,2.723238,2.680449,2.64077,2.608703,2.584397,2.569915,2.565116,2.579011,2.638401,2.769851,2.950625,13.168,10.777,1.08,-2,1,0.2,Wheat16H,14/08/2019,6:03:28 PM,10000,35.3,GPGGA,419,46.04425018,N,109.1861006,W
SEC 1 WEST,3.329815,3.257719,3.189901,3.122839,3.062503,3.018549,2.976625,2.92521,2.876432,2.839677,2.818199,2.81421,2.82049,2.814886,2.786129,2.75205,2.739861,2.772381,2.848919,2.941866,3.000939,3.011096,2.993274,2.960155,2.915926,2.867745,2.821688,2.777496,2.732938,2.691469,2.658014,2.633208,2.61807,2.613353,2.628253,2.689596,2.825261,3.010675,13.586,10.948,1.08,-2,1,0.2,Wheat16H,14/08/2019,6:03:47 PM,10000,35.2,GPGGA,437.4,46.04425055,N,109.1858651,W
SEC 1 WEST,3.256392,3.185814,3.11897,3.054705,2.995222,2.950785,2.910196,2.862207,2.815862,2.780899,2.761251,2.759051,2.766522,2.762622,2.73593,2.702839,2.690798,2.72255,2.799146,2.892094,2.952411,2.96397,2.94698,2.914351,2.871133,2.823823,2.778271,2.734598,2.691087,2.650766,2.617463,2.592431,2.577802,2.572753,2.586152,2.645366,2.778376,2.959988,13.075,10.496,1.08,-2,1,0.2,Wheat16H,14/08/2019,6:04:10 PM,10000,35.2,GPGGA,457,46.04425098,N,109.185615,W
SEC 1 WEST,3.256084,3.186083,3.117975,3.051377,2.994316,2.956145,2.917313,2.867402,2.819882,2.784642,2.765951,2.765405,2.774263,2.770684,2.744749,2.712636,2.701599,2.735819,2.816222,2.911629,2.972195,2.983779,2.967074,2.933825,2.889946,2.84307,2.798236,2.754047,2.709817,2.669192,2.636197,2.610831,2.595952,2.591788,2.606151,2.667671,2.804464,2.990255,13.087,10.351,1.08,-2,1,0.2,Wheat16H,14/08/2019,6:04:35 PM,10000,35.3,GPGGA,520,46.04425133,N,109.1853188,W
SEC 1 WEST,3.302752,3.236864,3.172485,3.110858,3.055051,3.013996,2.974213,2.925119,2.878365,2.843477,2.823233,2.820003,2.826168,2.821082,2.794447,2.761752,2.749681,2.781307,2.856161,2.945714,3.002404,3.011974,2.994819,2.962527,2.919789,2.873558,2.82959,2.78688,2.743547,2.703306,2.67114,2.646323,2.631517,2.626564,2.640572,2.700136,2.83153,3.010885,13.65,10.905,1.08,-2,1,0.2,Wheat16H,14/08/2019,6:04:55 PM,10000,35.3,GPGGA,544.6,46.0442519,N,109.1850035,W
SEC 1 WEST,0,0,3.172485,3.110858,3.055051,3.013996,2.974213,2.925119,2.878365,2.843477,2.823233,2.820003,2.826168,2.821082,2.794447,2.761752,2.749681,2.781307,2.856161,2.945714,3.002404,3.011974,2.994819,2.962527,2.919789,2.873558,2.82959,2.78688,2.743547,2.703306,2.67114,2.646323,2.631517,2.626564,2.640572,2.700136,2.83153,3.010885,13.65,10.905,1.08,-2,1,0.2,Wheat16H,14/08/2019,6:04:57 PM,10000,0,GPGGA,604.8,46.04425232,N,109.1847449,W
SEC 1 WEST,3.25369,3.185552,3.119765,3.054745,2.999793,2.960157,2.919563,2.868943,2.821947,2.786477,2.767309,2.765471,2.773627,2.770183,2.74341,2.710721,2.699933,2.734595,2.81388,2.908201,2.968665,2.980241,2.962802,2.929314,2.885082,2.837517,2.791828,2.747292,2.703097,2.662208,2.629024,2.603788,2.589348,2.584438,2.598451,2.660607,2.797718,2.985136,12.577,11,1.08,-2,1,0.2,Wheat16H,14/08/2019,6:05:19 PM,10000,35.1,,,,,,
SEC 1 WEST,3.321739,3.249246,3.18003,3.113821,3.054342,3.008266,2.964558,2.913522,2.865051,2.828091,2.807422,2.804535,2.810895,2.805703,2.777932,2.743947,2.731876,2.764665,2.842803,2.9365,2.996564,3.007159,2.989406,2.956107,2.911679,2.862871,2.816519,2.771805,2.726804,2.685098,2.65132,2.625671,2.61048,2.605914,2.620111,2.681848,2.818598,3.004432,13.741,10.57,1.08,-2,1,0.2,Wheat16H,14/08/2019,6:05:45 PM,10000,35.1,GPGGA,628.2,46.04425265,N,109.1844457,W
SEC 1 WEST,3.294694,3.226043,3.160251,3.096583,3.037964,2.994119,2.952711,2.902453,2.855118,2.819505,2.798461,2.794368,2.800348,2.794823,2.767077,2.734167,2.72175,2.75291,2.828679,2.918724,2.976102,2.986147,2.96852,2.935483,2.892189,2.845206,2.799904,2.755893,2.712402,2.672241,2.638912,2.613586,2.59881,2.594312,2.607654,2.667769,2.799562,2.978273,13.383,10.759,1.08,-2,1,0.2,Wheat16H,14/08/2019,6:06:15 PM,10000,35.4,GPGGA,655,46.04425318,N,109.184102,W
SEC 1 WEST,3.264975,3.195274,3.128436,3.062744,3.004932,2.964819,2.924658,2.874058,2.826193,2.789845,2.769222,2.766295,2.772256,2.76655,2.739581,2.706733,2.694908,2.727319,2.803562,2.893737,2.951272,2.961843,2.945347,2.912839,2.870767,2.824425,2.779848,2.737376,2.694174,2.653884,2.621325,2.597226,2.582576,2.577876,2.592509,2.653155,2.786409,2.966802,13.291,10.627,1.08,-2,1,0.2,Wheat16H,14/08/2019,6:06:38 PM,10000,35.2,GPGGA,724.2,46.04425368,N,109.1837248,W
SEC 1 WEST,3.320507,3.250203,3.182259,3.115091,3.052625,3.007896,2.966726,2.916316,2.86766,2.829807,2.806668,2.800907,2.805378,2.79837,2.769791,2.734904,2.721718,2.751114,2.824986,2.915532,2.974063,2.985056,2.968495,2.936003,2.892313,2.844887,2.799536,2.754977,2.710475,2.66992,2.636724,2.611884,2.59628,2.59164,2.605089,2.664311,2.797093,2.979832,13.758,10.793,1.08,-2,1,0.2,Wheat16H,14/08/2019,6:06:57 PM,10000,35.1,GPGGA,747.8,46.04425405,N,109.1834212,W
SEC 1 WEST,3.281049,3.213941,3.149168,3.084588,3.027713,2.987353,2.946882,2.895821,2.847064,2.809649,2.787096,2.780772,2.783546,2.775675,2.746608,2.712968,2.699529,2.728404,2.799579,2.884404,2.938753,2.949397,2.933525,2.902225,2.860718,2.815376,2.77117,2.728679,2.686092,2.646414,2.614051,2.590232,2.57608,2.571226,2.584762,2.644151,2.775385,2.953739,13.564,10.856,1.08,-2,1,0.2,Wheat16H,14/08/2019,6:07:11 PM,10000,35.3,GPGGA,806.4,46.04425452,N,109.1831835,W
SEC 1 WEST,3.415881,3.340084,3.267686,3.198057,3.134708,3.085896,3.038871,2.983861,2.932208,2.892749,2.868585,2.86297,2.867156,2.860117,2.829334,2.792382,2.778056,2.809062,2.885856,2.979122,3.039507,3.049669,3.031894,2.997972,2.952656,2.902606,2.85511,2.808997,2.762624,2.71959,2.685343,2.658916,2.643238,2.637845,2.652113,2.714052,2.852803,3.042521,14.016,10.951,1.08,-2,1,0.2,Wheat16H,14/08/2019,6:07:31 PM,10000,35.9,GPGGA,820.4,46.0442547,N,109.1830048,W
